,dataset,records,rep,n_records,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
7,mesa,2053,0,100,0.854782718222607,0.791771368393051,0.858969314675333,0.7817592458181,0.81281908114852
19,dodh,25,0,20,0.0.883058957099992,0.833518625488476,0.883743419206969,0.850900459747594,0.86500585222851
30,mros,586,0,100,0.875851469888605,0.797816070494835,0.880950898762079,0.749171220201609,0.793258735636638
40,shhs,2651,0,100,0.870543866376467,0.817232994854136,0.874206463832642,0.786612137208571,0.812184538065077
50,sleep edf,197,0,100,0.829852026376325,0.769731302826198,0.829814563224685,0.78852320624864,0.809798781179718
60,mass,115,0,92,0.850619293011482,0.792422624944081,0.852450677661118,0.823184340221503,0.842742170650518
70,dodo,55,0,44,0.874790117534181,0.819608473079607,0.877233295314226,0.82653489467531,0.847141281188271
8,mesa,2053,0,75,0.855326095471575,0.792322420412711,0.859160664807185,0.781497420678735,0.810092807855346
31,mros,586,0,75,0.877138403456962,0.799038356303169,0.881258464791158,0.748606950589935,0.780483756262449
41,shhs,2651,0,75,0.87099055320276,0.817653196651089,0.874455672587115,0.786661060511376,0.810803264872495
51,sleep edf,197,0,75,0.827111430722195,0.767953687663555,0.828644381274879,0.78411551392519,0.805460328844409
61,mass,115,0,75,0.846695597143115,0.787047037331455,0.848775509187277,0.819984535868876,0.838783046806826
4,mesa,2053,0,50,0.853465172398433,0.789633926110172,0.857190986771209,0.778630468519786,0.80798623314553
26,mros,586,0,50,0.873902434211824,0.794145432962892,0.878197413948808,0.744060883612017,0.785266497664711
37,shhs,2651,0,50,0.868519620089709,0.814211032330927,0.871595617033702,0.782194960689853,0.803959397598189
47,sleep edf,197,0,50,0.823877471203462,0.763641531227466,0.825383301872806,0.780271341277372,0.801255689788728
57,mass,115,0,50,0.846107946840249,0.785976527932267,0.848015583375475,0.817735009180874,0.836240358237747
5,mesa,2053,0,40,0.85266719506744,0.788389557241583,0.856367694241239,0.776729919750707,0.804146032496489
27,mros,586,0,40,0.873551651637826,0.793536133093555,0.877916787109091,0.742666245999106,0.780339449320801
38,shhs,2651,0,40,0.867549491799365,0.812913938721294,0.870612448370613,0.781170611638767,0.803644049138627
48,sleep edf,197,0,40,0.822384551009508,0.761832429728818,0.823704835243883,0.778183607720146,0.801752932532322
58,mass,115,0,40,0.843612693246542,0.783098610956115,0.845604233700714,0.815909969553323,0.837576350085302
68,dodo,55,0,40,0.867890149522879,0.810899982136831,0.870572334235925,0.822573777338616,0.845985314130314
1,mesa,2053,0,30,0.849554392254628,0.783860682861599,0.852806212549699,0.772191182902956,0.801976219169474
23,mros,586,0,30,0.87316359841534,0.793008179816617,0.877458548018166,0.741005177409461,0.780554209836782
34,shhs,2651,0,30,0.865712728152374,0.810399490819111,0.868723244569702,0.7786288300782,0.801375324562665
44,sleep edf,197,0,30,0.824663882685911,0.764441723466085,0.825629544698394,0.779983629529841,0.800790667430247
54,mass,115,0,30,0.842148087876322,0.781104297256638,0.844134557093536,0.814134218172789,0.835856890816869
64,dodo,55,0,30,0.862217296566233,0.803242914487506,0.865302302493701,0.812815403476007,0.842415065252338
9,mesa,2053,0,20,0.847859746459792,0.781224121104568,0.850701437292623,0.769695493762391,0.79761936758013
32,mros,586,0,20,0.871337336639459,0.790160401881741,0.87599605450904,0.739025428910491,0.775461008011315
42,shhs,2651,0,20,0.866031071158155,0.810682713848527,0.869328976930427,0.779644094184971,0.802333724266974
52,sleep edf,197,0,20,0.82375130893355,0.763130674286753,0.824847794347011,0.778821047809636,0.797925614721561
62,mass,115,0,20,0.838812042310822,0.77647839364395,0.8409058337029,0.810157858093526,0.831674160021539
72,dodo,55,0,20,0.857727853332331,0.796640001455523,0.861062740802273,0.807021547042229,0.835603404930109
2,mesa,2053,0,10,0.843412501286441,0.774762225141053,0.846716754702474,0.762613366152323,0.78733290480537
12,dodh,25,0,10,0.882166896439867,0.833565666274036,0.88323499273209,0.846493598782661,0.868737528622721
24,mros,586,0,10,0.855433731690794,0.765453380811831,0.861768504849276,0.714046698869934,0.758733323874113
35,shhs,2651,0,10,0.862400639705866,0.805118961796644,0.86606379609019,0.773060658570558,0.793499137688373
45,sleep edf,197,0,10,0.82185466947588,0.760700895257509,0.822102881666723,0.775482971600048,0.797015161717416
55,mass,115,0,10,0.836470481873248,0.773650730539258,0.837698588619558,0.806784359077076,0.8307497786196
65,dodo,55,0,10,0.857972048989406,0.796581142020606,0.860284048133029,0.80214952667917,0.826255653373544
3,mesa,2053,0,5,0.821302999442414,0.744493062055115,0.825693356911981,0.73630305888077,0.776323429165499
13,dodh,25,0,5,0.867650636606926,0.814447230905826,0.869058447327913,0.834204530128974,0.863324467584594
25,mros,586,0,5,0.860891689303105,0.773709157200326,0.866914133669185,0.718943005694453,0.737841114064558
36,shhs,2651,0,5,0.860450316943177,0.802023203927414,0.863691201874202,0.768626719695305,0.786817921473389
46,sleep edf,197,0,5,0.814200825101245,0.750744392967988,0.813040189338842,0.765486999582066,0.790544548950822
56,mass,115,0,5,0.837040050628334,0.772733789797296,0.837128629010704,0.803363342572783,0.820545921440669
66,dodo,55,0,5,0.856319032233827,0.79503894637717,0.860813997369979,0.805509703516072,0.83831731389995
0,mesa,2053,0,3,0.817948268949849,0.738006427355391,0.820468703561008,0.728306482137229,0.754132183218158
10,dodh,25,0,3,0.868258859784283,0.81563868457343,0.869370819626723,0.83007806997576,0.860042447936363
22,mros,586,0,3,0.854963463802527,0.765029565473812,0.861097809837736,0.702017416662608,0.7254865298613
33,shhs,2651,0,3,0.855140405937663,0.795401102919962,0.860460070860752,0.763711216351142,0.790837332312702
43,sleep edf,197,0,3,0.812686877862306,0.748756896419032,0.811547921780423,0.763295718876327,0.788531734263923
53,mass,115,0,3,0.835611608353675,0.769548101165829,0.834131800966346,0.797760442181112,0.810329691990216
63,dodo,55,0,3,0.853144488691863,0.792072920531284,0.858406031597621,0.80402708008593,0.844828541251017
6,mesa,2053,0,2,0.837566299704618,0.764370758303085,0.837399017197086,0.747038327245165,0.761157572224691
16,dodh,25,0,2,0.87052955964642,0.813322175270469,0.869633105586141,0.828939191761309,0.829821876270193
28,mros,586,0,2,0.849130607314255,0.754659618713306,0.853983864387977,0.682101886135005,0.690827986390235
39,shhs,2651,0,2,0.854758834726189,0.794230310304117,0.860039931216,0.761222630638511,0.786704573225835
49,sleep edf,197,0,2,0.818086623014521,0.753410664924797,0.815210511635889,0.762632992075252,0.77448262569332
59,mass,115,0,2,0.838830123858602,0.769337723938972,0.833993424828867,0.79143667990579,0.784890571064665
69,dodo,55,0,2,0.848016379893305,0.785326584811733,0.85405925545838,0.797771141711821,0.841076994145718
49,dodh,25,0,0,0.888532965696213,0.84098230351119,0.889412649710895,0.852260109014979,0.866737555544636
26,dodo,56,0,0,0.832998136428216,0.768447738778792,0.843431588112467,0.790562344541992,0.854456978552179
21,cap,106,0,0,0.700064183640723,0.600618149947729,0.707102876272583,0.644070928090197,0.656362760676684
14,mass,115,0,0,0.833713045836724,0.766671044180485,0.831840950434473,0.795415478914903,0.809781477804017
3,sleep_edf,197,0,0,0.818309509691365,0.754331909194803,0.812762761715605,0.759495776933982,0.781479880762702
20,mros,586,0,0,0.864888418255602,0.779787081921218,0.871535026291537,0.729792359518809,0.755441188494807
38,mesa,2053,0,0,0.843311890092639,0.772314491894872,0.842364778073175,0.753405044715115,0.756868033658554
51,shhs,2651,0,0,0.85520961093892,0.796343918420281,0.863746000888288,0.766285681598889,0.803927585137619
0,cap,106,0,40,0.786023068355577,0.714742404912841,0.78730031275319,0.727609804464189,0.734130049806784
7,cap,106,0,75,0.787004700507806,0.716402431000855,0.788455728594165,0.735100960993576,0.738527024455351
13,cap,106,0,20,0.776150114209125,0.701840842649206,0.778132431404277,0.719893776730155,0.728500783519061
20,cap,106,0,30,0.78263454967625,0.710516723173142,0.784647890165835,0.72531030943362,0.733423730111109
27,cap,106,0,5,0.767608026730599,0.690693071431497,0.77080017401093,0.708214468434159,0.717845326161242
34,cap,106,0,50,0.786249598852245,0.715712460655738,0.788015638801674,0.730690794852107,0.740427940937836
41,cap,106,0,3,0.758641194570819,0.679804672159616,0.764814312272152,0.701500327084029,0.716284322014789
48,cap,106,0,10,0.76786287353935,0.690561205785581,0.770881258594186,0.711662881372985,0.720350396876702
55,cap,106,0,2,0.752619258867725,0.670390701805351,0.758549292000766,0.694533284451616,0.704460055836625
7,cap,106,0,84,0.792762350631454,0.722413793627073,0.796412267533626,0.737643273871017,0.742177999728467
